"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fa:d8:66:5d:ab:75","Broadcast","802.11","206","Beacon frame, SN=385, FN=0, Flags=........, BI=100, SSID=THE GREATEST "
"2","0.236096","","XiaomiCo_ca:54:b1 (b4:c4:fc:ca:54:b1) (RA)","802.11","10","Clear-to-send, Flags=........"
"3","0.289811","","5a:56:22:c0:f3:de (5a:56:22:c0:f3:de) (RA)","802.11","10","Acknowledgement, Flags=........"
"4","0.599594","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"5","0.599598","","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (RA)","802.11","10","Acknowledgement, Flags=........"
"6","0.626218","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"7","0.640044","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"8","0.671275","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"9","0.674861","","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (RA)","802.11","10","Acknowledgement, Flags=........"
"10","0.674861","","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (RA)","802.11","10","Acknowledgement, Flags=........"
"11","0.674858","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"12","0.686145","","XiaomiCo_ca:54:b1 (b4:c4:fc:ca:54:b1) (RA)","802.11","10","Acknowledgement, Flags=........"
"13","0.692267","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"14","0.977924","","SamsungE_77:9b:91 (bc:d1:1f:77:9b:91) (RA)","802.11","10","Acknowledgement, Flags=........"
"15","2.045565","fa:d8:66:5d:ab:75","c6:fb:49:b5:08:a8","802.11","200","Probe Response, SN=407, FN=0, Flags=........, BI=100, SSID=THE GREATEST "
"16","2.045511","","fa:d8:66:5d:ab:75 (fa:d8:66:5d:ab:75) (RA)","802.11","10","Acknowledgement, Flags=........"
